name,type,no_brand,generic,synonyms,manufacturers,linked
Alokozay,marketing,False,,,Alokozay Tea International Ltd.,alokozay tea international ltd.
Alokozay Tea International Ltd.,manufacturer,False,,,Alokozay Tea International Ltd.,alokozay
Alpen Gold,marketing,False,,альпен гольд,"Mondelez Polska Production Sp. z.o.o.|ООО ""Мон'дэлис Русь""|ООО ""Мондэлис Русь""|ООО""Дирол Кэдбери""","mondelez polska production sp. z.o.o.|ооо ""мон'дэлис русь""|ооо ""мондэлис русь""|ооо""дирол кэдбери"""
Alpino,marketing,False,,,"ООО ""Аллгой"", Россия","ооо ""аллгой"", россия"
Alpro Comm VA,manufacturer,False,,,Alpro Comm VA,alpro
Altero,marketing,False,,,"ОАО ""ЭФКО""","оао ""эфко"""
An Dinh Technology Development and Investment Company Limited,manufacturer,False,,,An Dinh Technology Development and Investment Company Limited,sen soy
Anchor,marketing,False,,анкор|тм анкор,"ООО ""Юничиз""","ооо ""юничиз"""
Anshan J&N Foods Co.,manufacturer,False,,,Anshan J&N Foods Co.,огородников
"Anshan J&N Foods Co., Ltd.",manufacturer,False,,,"Anshan J&N Foods Co., Ltd.",огородников
Apetina,marketing,False,,апетина,"ООО ""Сыроварня ""Волжанка""","ооо ""сыроварня ""волжанка"""
Arla,marketing,False,,апетина|арла|натура,"Arla Foods amba|Arla Foods amba, Дания|ДАНИЯ - ARLA FOODS AMBA|ОАО Молочный комбинат ""Воронежский""|Филиал ОАО ""Молочный комбинат ""Воронежский ""Калачеевский сырзавод""","arla foods amba|arla foods amba, дания|дания - arla foods amba|оао молочный комбинат ""воронежский""|филиал оао ""молочный комбинат ""воронежский ""калачеевский сырзавод"""
Arla Foods amba,manufacturer,False,,апетина|арла,Arla Foods amba,arla|natura
"Arla Foods amba, Дания",manufacturer,False,,,"Arla Foods amba, Дания",arla
Artur,marketing,False,,,ARTUR sp.z o.o.,artur sp.z o.o.
"Artur Sp.z.o.o., Польша",manufacturer,False,,,"Artur Sp.z.o.o., Польша",biska
Asinez,marketing,False,,,Galletas Asinez S.A.,galletas asinez s.a.
BERNLEY,marketing,False,,english classic|бернли,"ООО ""Яковлевская чаеразвесочная фабрика""","ооо ""яковлевская чаеразвесочная фабрика"""
BIGBON,marketing,False,,бигбон,Viet Hung Food Industry Company Limited|ПОЛИМЕР,viet hung food industry company limited|полимер
BLOCKBUSTER,marketing,False,,блокбастер,"""WITPOL sp.z.o.o.""|JSC ""DANVITA""","""witpol sp.z.o.o.""|jsc ""danvita"""
BMP Grey Goose S.A.S.,marketing,False,,,BMP Grey Goose S.A.S.,
BORJOMI,marketing,False,,боржоми,IDS Borjomi Georgia,ids borjomi georgia
BULLIT,marketing,False,,буллит,BULLIT GMBH,bullit gmbh
BULLIT GMBH,manufacturer,False,,,BULLIT GMBH,bullit
Bacardi,marketing,False,,,,
"Bahlsen GmbH & Co, Германия",manufacturer,False,,,"Bahlsen GmbH & Co, Германия",balsen
Baikal Reserve,marketing,False,,,"ЗАО ГК ""Море Байкал""","зао гк ""море байкал"""
Baleno,marketing,False,,балено,"Eurovision Thai Co., Ltd|Hanoi Eurovision Co Ltd|Xiamen Ovisen I/E Co. Ltd|ЗАО Консервный завод ""Поречский""","eurovision thai co., ltd|hanoi eurovision co ltd|xiamen ovisen i/e co. ltd|зао консервный завод ""поречский"""
Balsen,marketing,False,,бальзен,"Bahlsen GmbH & Co, Германия|Balsen GmbH & Co. KG","bahlsen gmbh & co, германия|balsen gmbh & co. kg"
Balsen GmbH & Co. KG,manufacturer,False,,,Balsen GmbH & Co. KG,balsen
Barilla,marketing,False,,,Barilla G. & R. Fratelli,barilla g. & r. fratelli
Barilla G. & R. Fratelli,manufacturer,False,,,Barilla G. & R. Fratelli,barilla
Basilur,marketing,False,,,"ООО ""Мон'дэлис Русь""","ооо ""мон'дэлис русь"""
Basilur Tea Export Ltd.,manufacturer,False,,,Basilur Tea Export Ltd.,tipson
Baskin Robbins,marketing,False,,баскин роббинс,"ЗАО ""БРПИ""","зао ""брпи"""
Belberry Preserves,manufacturer,False,,,Belberry Preserves,heritier|royal selection belberri
Beldi,marketing,False,,,"EUROLIVA S,A,","euroliva s,a,"
Bell’s,marketing,False,,,,
Biffi,marketing,False,,биффи,FORMEC BIFFI S.p.a.,formec biffi s.p.a.
Bio Max,marketing,False,,,"ОАО ""Вимм-Билль-Данн""","оао ""вимм-билль-данн"""
Bio Баланс,marketing,False,,био-баланс|юни милк|юнимилк,"ОАО ""Компания ЮНИМИЛК""","оао ""компания юнимилк"""
Biotta,marketing,False,,,Biotta AG,biotta ag
Biotta AG,manufacturer,False,,,Biotta AG,biotta
Biska,marketing,False,,,"Artur Sp.z.o.o., Польша","artur sp.z.o.o., польша"
Blue Dragon,marketing,False,,,,
Bnazrum Agro Exports Private Limited,manufacturer,False,,,Bnazrum Agro Exports Private Limited,vitaland
Bodegas Murviedro S. A.,marketing,False,,,Bodegas Murviedro S. A.,
Bon Cream,marketing,False,,,"ООО "" Маслосырбаза ""Энгельсская""","ооо "" маслосырбаза ""энгельсская"""
Bonaqua,marketing,False,,бонаква,"ООО ""Кока-Кола Эйчбиси Евраазия""|ООО""Кока-Кола ЭйчБиСи Евразия""","ооо ""кока-кола эйчбиси евраазия""|ооо""кока-кола эйчбиси евразия"""
Bonduelle,marketing,False,,,"""BONDUELLE EUROPE LONG LIFERUE NICOLAS APPERT""|Bonduelle Surgele Internetional|Reitzel India Pvt. Ltd|ООО "" Бондюэль-Кубань""|ООО ""Кубанские консервы""","""bonduelle europe long liferue nicolas appert""|bonduelle surgele internetional|reitzel india pvt. ltd|ооо "" бондюэль-кубань""|ооо ""кубанские консервы"""
Bonduelle Surgele Internetional,manufacturer,False,,,Bonduelle Surgele Internetional,bonduelle
Bonfesto,marketing,False,,,"ОАО ""Туровский молочный комбинат""|ОАО""Туровский молочный комбинат""","оао ""туровский молочный комбинат"""
Borges,marketing,False,,,ACEITES BORGES,aceites borges
Bulfoods,marketing,False,,,"""Карнобатплод""|""Карнобатплод"" АД|""ФРУКТО Сливен""|Карнобатплод","""карнобатплод""|""карнобатплод"" ад|""фрукто сливен""|карнобатплод"
Burn,marketing,False,,,"ООО ""Кока-Кола ЭйчБиСи Евразия""|ООО ""Кока-Кола Эйчбиси Евраазия""","ооо ""кока-кола эйчбиси евраазия""|ооо""кока-кола эйчбиси евразия"""
Burton's Biscuit Co.,manufacturer,False,,,Burton's Biscuit Co.,wagon wheels
Bushido,marketing,False,,бушидо|эгоист,Haco LTD.,haco ltd.
"C&A Products Co., Ltd.",manufacturer,False,,,"C&A Products Co., Ltd.",sen soy
"CAFEA-GROUP, Германия",manufacturer,False,,,"CAFEA-GROUP, Германия",бушидо
CARAPELLI FIRENZE S.P.A.,manufacturer,False,,,CARAPELLI FIRENZE S.P.A.,сarapelli
CASTELLO DI GABBIANO,marketing,False,,,CASTELLO DI GABBIANO,
CEBE BONBON GmbH,manufacturer,False,,,CEBE BONBON GmbH,charles berger
CIE DES SALINS DU MIDI ET,manufacturer,False,,,CIE DES SALINS DU MIDI ET,la baleine
CONSERVE ITALIA Soc. Coop. Agricola,manufacturer,False,,,CONSERVE ITALIA Soc. Coop. Agricola,ciro
CORNETTO ENIGMA,marketing,False,,,ООО «Юнилевер Русь»,ооо «юнилевер русь»
CORNEX,marketing,False,,,"ООО ""Ладинвест""","ооо ""ладинвест"""
COSTA LIGURE S.N.C.,manufacturer,False,,,COSTA LIGURE S.N.C.,costa ligure
Café Tasse,marketing,False,,кафе тассе,Choc And Co s.a,choc and co s.a
Calve,marketing,False,,,"ООО ""Юнилевер Русь""|ООО «Юнилевер Русь»",ооо «юнилевер русь»
Campina,marketing,False,,,"FrieslandCampina|ООО ""Кампина""","frieslandcampina|ооо ""кампина"""
Carl Kuhne KG (GmbH & Co),manufacturer,False,,,Carl Kuhne KG (GmbH & Co),kuhne
Carte Noire,marketing,False,,карт нуар,"KRAFT FOODS|Mondelez Sverage Production AB, Швеция|S.A. Fichaux Industries|ООО ""Мон'дэлис Русь""","kraft foods|mondelez sverage production ab, швеция|s.a. fichaux industries|ооо ""мон'дэлис русь"""
Chang Awards,manufacturer,False,,,Chang Awards,vitaland
Charles Berger,marketing,False,,,CEBE BONBON GmbH,cebe bonbon gmbh
Choc And Co s.a,manufacturer,False,,,Choc And Co s.a,café tasse
Chocoladenfabriken Lindt & Sprungli GmbH,manufacturer,False,,,Chocoladenfabriken Lindt & Sprungli GmbH,lindt
Choridos,marketing,False,,,"ОАО ""Мясокомбинат Клинский""","оао ""мясокомбинат клинский"""
"Chotiwal Manufacturing Co., Ltd.",manufacturer,False,,,"Chotiwal Manufacturing Co., Ltd.",jon west
Ciko,marketing,False,,,"ООО ""БИЗ ФРУТС""","ооо ""биз фрутс"""
Ciro,marketing,False,,cirio,CONSERVE ITALIA Soc. Coop. Agricola,conserve italia soc. coop. agricola
Citrano,marketing,False,,,"ООО""Олимпик Фудс""","ооо ""олимпик фудс"""
Citterio,manufacturer,False,,читтерио,Citterio,citterio|labeyrie
Club,marketing,False,,,"""ФКПЧФ Бобимэкс т.м.""|ООО ""ФКПЧФ Бобимэкс тм""","""фкпчф бобимэкс т.м.""|ооо ""фкпчф бобимэкс тм"""
Coca-Cola,marketing,False,Coca-Cola,кока кола|кока-кола,"ООО ""Кока-Кола ЭйчБиСи Евразия""|ООО""Кока-Кола ЭйчБиСи Евразия""","ооо""кока-кола эйчбиси евразия"""
Coelsanus Ind. Cons. S.p.A.,manufacturer,False,,,Coelsanus Ind. Cons. S.p.A.,iberica
Coetsanus Industria Concerve S. p. A.,manufacturer,False,,,Coetsanus Industria Concerve S. p. A.,le magie dell'orto
Coffitel,marketing,False,,,"ОАО ""РУССКИЙ ПРОДУКТ""","оао ""русский продукт"""
Colavita,marketing,False,,,Colavita s.p.a,colavita s.p.a
Colavita s.p.a,manufacturer,False,,,Colavita s.p.a,colavita
Compagnie Francaise des Grands Vins,marketing,False,,,Compagnie Francaise des Grands Vins,
Conde Otinano,marketing,False,,,,
Corny,marketing,False,,,Schwartau GmbH,schwartau gmbh
Costa Ligure,marketing,False,,коста лигуре,COSTA LIGURE S.N.C.,costa ligure s.n.c.
Cote D'or,marketing,False,,кот дор,Шварцкопф & Хенкель Продакшен Юроп ГмбХ & Ко,шварцкопф & хенкель продакшен юроп гмбх & ко
Cote d'ore,marketing,False,,,Mondelez Belgium Production bvba-sprl,mondelez belgium production bvba-sprl
Cremе Bonjour,marketing,False,,,"ООО""Юнилевер Русь""",ооо «юнилевер русь»
Curtis,marketing,False,,кертис,"ЗАО Компания ""Май""","зао компания ""май"""
Cykoria S.A.,manufacturer,False,,cykoria s a,Cykoria S.A.,cykoria s.a.
"Cykoria S.A., Польша",manufacturer,False,,,"Cykoria S.A., Польша",цикория
D'arte,marketing,False,,дарте,,
DANONE,marketing,False,,даниссимо|данон,"ООО ""Данон Индустрия""","ооо ""данон индустрия"""
DELICADOS,marketing,False,,деликадос,"ЗАО ""Солнце Мехико""","зао ""солнце мехико"""
DENKER,marketing,False,,tender|дэнкер,"ООО ""Авалонторг""|ООО ""Яковлевская чаеразвесочная фабрика""","ооо ""авалонторг""|ооо ""яковлевская чаеразвесочная фабрика"""
DOMашний лимонад,marketing,False,,,"ООО ""Ессентукский комбинат прохладительных напитков Ермак""","ооо ""ессентукский комбинат прохладительных напитков ермак"""
"DONGSHAN DONGYI FOOD CO, LTD",manufacturer,False,,,"DONGSHAN DONGYI FOOD CO, LTD",штурвал
DOS OLIVAS,marketing,False,,,"Aceites Albert S.A.|Industrias Alimentarias de Navarra, S,A,U","aceites albert s.a.|industrias alimentarias de navarra, s,a,u"
DOVE,marketing,False,,,"ООО ""Марс""","ооо ""марс"""
"DP ""Artemsil`""",manufacturer,False,,артем,"DP ""Artemsil`""",
DROGHERIA E ALIMENTARI,marketing,False,,drogheria,"Drogheria у Alimentari SpA, Италия","drogheria у alimentari spa, италия"
"Dalian Shancheng Horseradish Products Co., LTD",manufacturer,False,,,"Dalian Shancheng Horseradish Products Co., LTD",сэн сой
"Dalian Xinggang Tinned Food Co., Ltd.",manufacturer,False,,,"Dalian Xinggang Tinned Food Co., Ltd.",vitaland
Dallmayr,marketing,False,,даллмайер,Alois Dallmayr Kaffee oHG,alois dallmayr kaffee ohg
Danone Waters Deutshland Gmbh,manufacturer,False,,,Danone Waters Deutshland Gmbh,volvic
Darbo,marketing,False,,,A. Darbo AG,a. darbo ag
Davidoff,marketing,False,,давидоф|давидофф,,
De Cecco,marketing,False,,,"""Filli De Cecco di Filippo Fara San Martino S.p.A. Zona Ind.""|F.lli De Cecco di Filippo S.p.A.|F.lli De Cecco di Fillipo Fara San Martino S.p.A.","""filli de cecco di filippo fara san martino s.p.a. zona ind.""|f.lli de cecco di filippo s.p.a.|f.lli de cecco di fillipo fara san martino s.p.a."
De Marne's fabrieken BV,manufacturer,False,,,De Marne's fabrieken BV,heinz
Delba,marketing,False,,,Делба Бакбетриб,делба бакбетриб
Delser,marketing,False,,дельсер,,
Deutsche Extract Kaffee,manufacturer,False,,,Deutsche Extract Kaffee,egoiste
"Deutsche Extract Kaffee GmbH, Германия",manufacturer,False,,,"Deutsche Extract Kaffee GmbH, Германия",egoiste
Dewar`s,marketing,False,,,Джон Дюар энд Санс Лтд. ( John Dewar and Sons Ltd),
Disney,marketing,False,,,Vitapress Kft.,vitapress kft.
Dolce,marketing,False,,,,
Dolceria Alba S.r.l,manufacturer,False,,laime,Dolceria Alba S.r.l,laime
Dolmio,marketing,False,Долмио,долмио,"ООО ""Марс""","ооо ""марс"""
Donat Mg,marketing,False,,,"ООО"" Атлантик Брендс""","ооо"" атлантик брендс"""
Donkels,marketing,False,,,Natra,natra
Dr. August Oetker,manufacturer,False,,,Dr. August Oetker,dr.oetker
Dr. Schar,manufacturer,False,,,Dr. Schar,dr.schar
Dr.Korner,marketing,False,,dr korner|др корнер,"ОАО ""Хлебпром""|ОАО""Хлебпром""","оао ""хлебпром"""
Dr.Oetker,marketing,False,,dr oetker|dr. oetker,"""Д-р Оеткер Декор Сп. З.о.о."", Польша|Dr. August Oetker|ЗАО ""Д-р Оеткер""|ЗАО ""Д-р Оеткер"", Россия","""д-р оеткер декор сп. з.о.о."", польша|dr. august oetker|зао ""д-р оеткер"""
Dr.Pepper,marketing,False,,dr pepper,"""Dr.Pepper company""|ООО ""ПК ""АКВА""","""dr.pepper company""|ооо ""пк ""аква"""
Dr.Schar,marketing,False,,schar,"Dr. Schar|ООО ""Диета""","dr. schar|ооо ""диета"""
Drive Me,marketing,False,,,"ООО ""ПепсиКо Холдингс""","ооо ""пепсико холдингс"""
Drive for life,marketing,False,,,"ООО ""Инстанта Рус"", Россия","ооо ""инстанта рус"", россия"
"Drogheria у Alimentari SpA, Италия",manufacturer,False,,,"Drogheria у Alimentari SpA, Италия",drogheria e alimentari
E-Piim,marketing,False,,,"ООО ""Невские сыры""|ХОЛДИНГОВАЯ КОМПАНИЯ ""НЕВСКИЕ СЫРЫ""","ооо «невские сыры»|холдинговая компания ""невские сыры"""
EGOISTE,marketing,False,,эгоист,"Deutsche Extract Kaffee|Deutsche Extract Kaffee GmbH, Германия|Haco LTD.|MACO Ltd, Швейцария","deutsche extract kaffee|deutsche extract kaffee gmbh, германия|haco ltd.|maco ltd, швейцария"
EKSIM GIDA SAN.,manufacturer,False,,,EKSIM GIDA SAN.,alaeddin|usas
ESCO,marketing,False,,,"""Vatel - Companhia de Produtos Alimentares, S.A."", Португалия|""esco - european salt company GmbH & Co. KG"", Германия","""esco - european salt company gmbh & co. kg"", германия|""vatel - companhia de produtos alimentares, s.a."", португалия"
"EURO ASIA CORPORATION (PVT) LTD,",manufacturer,False,,,"EURO ASIA CORPORATION (PVT) LTD,",f&s
"EUROLIVA S,A,",manufacturer,False,,,"EUROLIVA S,A,",beldi|о'кей
EUROLIVA S.A.,manufacturer,False,,,EUROLIVA S.A.,о'кей
Ehrmann,marketing,False,,,"ООО ""Эрманн""","ооо ""эрманн"""
Emmi,manufacturer,False,,эмми|эмми деликат,Emmi,emmi
Empire Teas (Pvt) Ltd,manufacturer,False,,,Empire Teas (Pvt) Ltd,hillway
Enoforum S.A.,marketing,False,,,Enoforum S.A.,
Esco-european salt company GmbH & Co.,manufacturer,False,,,Esco-european salt company GmbH & Co.,белёк
European Seafood Investments Portugal,manufacturer,False,,,European Seafood Investments Portugal,jon west
"European Seafood Investments Portugal, S.A.",manufacturer,False,,,"European Seafood Investments Portugal, S.A.",jon west
"Eurovision Thai Co., Ltd",manufacturer,False,,,"Eurovision Thai Co., Ltd",baleno|о'кей
Evervess,marketing,False,,эвервесс,"ООО ""ПепсиКо Холдингс""","ооо ""пепсико холдингс"""
Everyday,marketing,False,,,"ЗАО ""Си-Проджект""|ООО ""Си-Продукт""","ооо ""си-проджект""|ооо ""си-продукт"""
Evian,marketing,False,,,"S.A. des Eaux Minerales d'EVIAN|ООО ""ПепсиКо Холдингс""","s.a. des eaux minerales d'evian|ооо ""пепсико холдингс"""
Exquisa,marketing,False,,,Karwendel-Werke Huber GmbH & Co. KG,karwendel-werke huber gmbh & co. kg
F&S,marketing,False,,,"EURO ASIA CORPORATION (PVT) LTD,","euro asia corporation (pvt) ltd,"
F.lli De Cecco di Filippo S.p.A.,manufacturer,False,,,F.lli De Cecco di Filippo S.p.A.,de cecco
F.lli De Cecco di Fillipo Fara San Martino S.p.A.,manufacturer,False,,,F.lli De Cecco di Fillipo Fara San Martino S.p.A.,de cecco
FAMILY,marketing,False,,,"ООО ""Консервный завод ""Универ""","ооо ""консервный завод ""универ"""
"FINI GOLOSINAS ESPANA, S.L.U",manufacturer,False,,,"FINI GOLOSINAS ESPANA, S.L.U",fini
FIT,marketing,False,,джофит|фит,"""USOVSKO FOOD a.s.""","""usovsko food a.s."""
FITOGU.RU,marketing,False,,фитогуру,"ЗАО ""Стимул""","зао ""стимул"""
FLESHARD SA LATÉRITE DU PONT-MORIN,manufacturer,False,,,FLESHARD SA LATÉRITE DU PONT-MORIN,la vache de paris
FLUIDE,marketing,False,,сладко|флюид,,
FORMEC BIFFI S.p.a.,manufacturer,False,,,FORMEC BIFFI S.p.a.,biffi
Fabricat si ambalat,manufacturer,False,,,Fabricat si ambalat,itlv
Famille Michaud Apiculteurs,manufacturer,False,,,Famille Michaud Apiculteurs,lune de miel
Fanta,marketing,False,,фанта,"ООО ""Кока-Кола ЭйчБиСи Евразия""|ООО""Кока-Кола ЭйчБиСи Евразия""","ооо""кока-кола эйчбиси евразия"""
Fazer,marketing,False,,фазер,"Fazer Confectionery|ОАО ""Фацер""","fazer confectionery|оао ""фацер"""
Fazer Confectionery,manufacturer,False,,,Fazer Confectionery,fazer
Feger di Gerardo Ferraloly SPA,manufacturer,False,,,Feger di Gerardo Ferraloly SPA,зеленый великан
Felix,marketing,False,,,Intersnack Poland Sp z.o.o.,intersnack poland sp z.o.o.
Femrich Lanka Ltd,manufacturer,False,,,Femrich Lanka Ltd,margo
Ferrero,manufacturer,False,,киндер|ферреро роше|ферреро рошер,FERRERO|Ferrero|Ferrero S.p.A.,ferrero s.p.a.|kinder
