raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn,tags,types
185556,кофе молотый paulig presidentti black,Паулиг,False,None,250г,,,Кофе молотый Paulig  Presidentti Black 250г,"Кофе|Чай, кофе, какао",Кофе|кофе|кофе + black|кофе + paulig|кофе + paulig + presidentti|кофе + presidentti|кофе + presidentti + black|кофе + в presidentti|кофе + молотого|кофе + молотый|кофе + молотый + presidentti|кофе + с молотого|кофейный|молотый|молотый + кофе
76268,вода мин негаз,Сенежская,True,"ООО ""ФКПЧФ Бобимэкс тм""",0.5л,,пэт,Вода Сенежская мин.негаз.0.5л ПЭТ,"Вода|Напитки, соки",вода|вода + мин|вода + мин + негаз|вода + негаз
243590,кетчуп острый,МАКА,False,"ООО ""ПК ""МАКА""",400г,,пл/б,Кетчуп Острый 400г пл/б,"Кетчупы|Растительные масла, соусы и приправы",кетчуп|кетчуп + острый|острый
131569,семечки подсолнечника очищенные,На зубок,True,"ООО ""Интелл""",200г,,,Семечки На зубок подсолнечника очищенные 200г,"Овощи, фрукты, грибы, ягоды|Орехи, сухофрукты",подсолнечник|подсолнечник + семя|семена|семена + подсолнечника|семечки|семечки + очищенные|семечки + подсолнечника|семя
123784,сельдь филе-кус в масле томилинская,Не Бренд,False,None,180г,,,"Сельдь филе-кус. в масле, 180г Томилинская","Пресервы|Рыба, морепродукты и икра|Рыбная гастрономия",сельдь|сельдь + в масле|сельдь + кус|сельдь + кус + в масле|сельдь + кус + масле|сельдь + масле|сельдь + томилинская|сельдь + филе|сельдь + филе + в масле|сельдь + филе + кус|сельдь + филе + кус + в масле|сельдь + филе + кус + масле|сельдь + филе + масле|сельдь + филе кус|сельдь + филе кус + в масле|сельдь + филе кус + масле|сельдь + филе-кус|сельдь + филе-кус + в масле|сельдь + филе-кус + масле|филе|филе + сельди
57784,сыр винцер,Emmi,True,Emmi,кг,,,Сыр Винцер кг Emmi,"Молочные продукты, сыры, яйцо|Сыры|Твердые сыры",сыр|сырки|сырная|сырные|сырный|сырок
90597,колбаса докторская классическая в/с,КампоМос,True,"ООО""ПИТ-ПРОДУКТ""",300г,,нарезка,Колбаса Докторская Классическая Кампомос в/с нарезка 300г,Колбасы вареные|Мясная гастрономия,докторская|колбаса|колбаса + в с|колбаса + в/с|колбаса + докторская|колбаса + докторская + в с|колбаса + докторская + в/с|колбаса + классическая|колбаска|колбаски|колбаски + классические|колбасный|колбасу
527048,напиток апельсин сильногаз б/а,Fanta,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1л,,пэт,Напиток Фанта Апельсин сильногаз б/а 1л ПЭТ,"Лимонады, газированные напитки|Напитки, соки",апельсин|апельсины|напитки|напиток|напиток + апельсин|напиток + апельсин + б а|напиток + апельсин + б/а|напиток + апельсин + сильногаз|напиток + апельсина|напиток + б а|напиток + б а + сильногаз|напиток + б/а|напиток + б/а + сильногаз|напиток + из апельсина|напиток + с апельсин|напиток + сильногаз|напиток + сильногаз + б а|напиток + сильногаз + б/а
46711,цыпленок 2 сорта зам,Птица,False,None,кг,,,"Цыпленок 2 сорта зам., кг",Мясо и птица|Птица замороженная,цыпленок|цыпленок + зам|цыпленок по|цыпленок-по|цыплята|цыплёнок
207957,приправа французские травы мельница,Kotanyi,True,Kotanyi GmbH,33г,,,Приправа Kotanyi Французские травы 33г мельница,"Растительные масла, соусы и приправы|Специи, приправы",приправа|приправа + и мельница|приправа + мельница|приправа + с травами|приправа + травами|приправа + травы|приправа + травы + мельница
76533,мороженое пломбир ванильный с изюмом брикет п/х,Как раньше,True,"ОАО ""Петрохолод""",220г,,,Мороженое Как раньше пломбир ванильный с изюмом брикет 220г П/х,"Молочные продукты, сыры, яйцо|Мороженое",мороженое|мороженое + брикет|мороженое + брикет + п х|мороженое + брикет + п/х|мороженое + брикет + пломбир|мороженое + ванильное|мороженое + ванильный|мороженое + ванильный + брикет|мороженое + п х|мороженое + п/х|мороженое + пломбир|мороженое + пломбир + брикет|мороженое + пломбир + ванильный|мороженое + пломбир + п х|мороженое + пломбир + п/х|пломбир
110685,творог флоупак,Ростагроэкспорт,True,ООО «РостАгроКомплекс»,180г,9%,,Творог Ростагроэкспорт 9% 180г флоупак,"Молочные продукты|Молочные продукты, сыры, яйцо|Творожные изделия",творог|творожный
130045,зефир с ванильным вкусом,Сладкие истории,True,"ОАО ""Рот Фронт""",250г,,,Зефир Сладкие истории с ванильным вкусом 250г,"Кондитерские изделия|Мармелад, суфле, зефир, пастила",зефир|зефир + ванили
132884,сливки стерилизованные,ПРОСТОКВАШИНО,True,"ОАО ""Компания ЮНИМИЛК""",350г,20%,,Сливки Простоквашино стерилизованные 20% 350г,"Молоко и сливки|Молочные продукты|Молочные продукты, сыры, яйцо",сливки|сливки + стерилизованные
174981,чай зеленый classic green,Lipton,True,ООО «Юнилевер Русь»,,,25пак,Чай зеленый Lipton Classic Green 25пак,"Чай зеленый|Чай, кофе, какао",чай|чай + classic|чай + classic + green|чай + green|чай + зеленый|чай + зеленый + classic|чай + зеленый + green
180827,фруктовый джем к сырам инжир и черн перец,Royal Selection Belberri,True,Belberry Preserves,130г,,ст/б,Фруктовый джем к сырам Belberry Инжир и Черн. перец 130г ст/б,"Растительные масла, соусы и приправы|Соусы",джем|джем + инжир|фруктовая|фруктовый|фруктовый + джем|фруктовый + джем + к сырам|фруктовый + джем + сырам|фруктовый + к сырам|фруктовый + сырам
109715,огурцы люкс,STANDARD,False,None,450г,,,Огурцы Люкс 450г,"Овощи|Овощи, фрукты, грибы, ягоды|Огурец",огурец|огурцы|огурчики
299244,напиток стер сыворот-мол neo м/фрукт,Мажитель,True,"ОАО ""Вимм-Билль-Данн""",250мл,0.05%,,Напиток стер сыворот-мол Мажитель NEO 0.05% 250мл М/фрукт,"Молоко и сливки|Молочные продукты|Молочные продукты, сыры, яйцо",напитки|напиток|напиток + neo|напиток + neo + м фрукт|напиток + neo + м/фрукт|напиток + neo + фрукт|напиток + м фрукт|напиток + м/фрукт|напиток + мол|напиток + мол + neo|напиток + мол + м фрукт|напиток + мол + м/фрукт|напиток + мол + фрукт|напиток + стер|напиток + стер + neo|напиток + стер + м фрукт|напиток + стер + м/фрукт|напиток + стер + мол|напиток + стер + сыворот|напиток + стер + сыворот + мол|напиток + стер + сыворот мол|напиток + стер + сыворот-мол|напиток + стер + фрукт|напиток + сыворот|напиток + сыворот + neo|напиток + сыворот + м фрукт|напиток + сыворот + м/фрукт|напиток + сыворот + мол|напиток + сыворот + мол + neo|напиток + сыворот + мол + м фрукт|напиток + сыворот + мол + м/фрукт|напиток + сыворот + мол + фрукт|напиток + сыворот + фрукт|напиток + сыворот мол|напиток + сыворот мол + neo|напиток + сыворот мол + м фрукт|напиток + сыворот мол + м/фрукт|напиток + сыворот мол + фрукт|напиток + сыворот-мол|напиток + сыворот-мол + neo|напиток + сыворот-мол + м фрукт|напиток + сыворот-мол + м/фрукт|напиток + сыворот-мол + фрукт|напиток + фрукт|напиток + фруктовый
120619,продукт плавл с сыром дружба континентов,Омский завод плавленых сыров,False,ООО Ястро,70г,,,Продукт плавл. с сыром Дружба континентов  70г,"Молочные продукты, сыры, яйцо|Плавленные, копченые, колбасные сыры|Сыры",продукт|продукт + сырный|сыр + плавл|сырный + продукт
73227,персики половинки,Vitaland,True,"Dalian Xinggang Tinned Food Co., Ltd.",720мл,,ст/б,Персики половинки 720мл ст/б Виталэнд,Консервация|Фруктово-ягодная консервация,персик|персики|персики + в половинки|персики + половинки|персиковое
515606,напиток чай зеленый цитрус негаз б/а,Nestea,True,"ООО ""Кока-Кола Эйчбиси Евраазия""",1.75л,,пэт,Напиток Nestea чай зеленый цитрус негаз б/а 1.75л ПЭТ,"Квас, холодный чай|Напитки, соки",напитки|напиток|напиток + б а|напиток + б а + негаз|напиток + б/а|напиток + б/а + негаз|напиток + зеленый|напиток + зеленый + б а|напиток + зеленый + б/а|напиток + зеленый + негаз|напиток + зеленый + цитрус|напиток + зеленый + чай|напиток + негаз|напиток + негаз + б а|напиток + негаз + б/а|напиток + негаз + зеленый|напиток + негаз + чай|напиток + цитрус|напиток + цитрус + б а|напиток + цитрус + б/а|напиток + цитрус + негаз|напиток + чай|напиток + чай + б а|напиток + чай + б/а|напиток + чай + зеленый|напиток + чай + негаз|напиток + чай + цитрус|напиток + чайный|чай|чай + зеленый
170925,горчица французская стекло,Heinz,True,De Marne's fabrieken BV,180 г,,,"Горчица Французская ""Хайнц"" стекло 180 г","Растительные масла, соусы и приправы|Хрен, горчица, маринад",горчица|горчица + стекло|горчичный
200387,оливки с/к,Iberica,True,«Olive Line» S. L.,300г,,ж/б,Оливки с/к Иберика 300г ж/б,Консервация|Овощные консервы|Оливки,оливки|оливки + с к|оливки + с/к
197010,сыр моцарелла мини,Galbani,True,"ОАО ""Ефремовский маслосыродельный комбинат""",150г,,,Сыр Моцарелла Гальбани Мини  150г,"Молочные продукты, сыры, яйцо|Сыры|Творожистые и рассольные сыры",моцарелла|сыр|сыр + мини|сыр + моцарелла|сыр + моцарелла + мини|сырки|сырная|сырные|сырный|сырок
50117,сердце свиное зам,Не Бренд,True,None,кг,,в/у,"Сердце свиное зам. в/у Максума, кг",Мясо замороженное|Мясо и птица,свинина|свинина + зам|сердце|сердце + зам|сердце + свиное
200559,маслины б/к,Sol Negro,True,Juan Gonzalez Martin,480г,,ж/б,Маслины б/к Sol Negro 480г ж/б,Консервация|Маслины|Овощные консервы,маслины|маслины + б к|маслины + б/к
199910,оливки зеленые без рассола с базиликом,ITLV,True,Aceitunas Guadalquivir,70г,,д/пак,Оливки зеленые ITLV без рассола с базиликом 70г д/пак,Консервация|Овощные консервы|Оливки,оливки|оливки + без рассола|оливки + зеленые|оливки + рассола
592385,сок яблоко,Золотая Русь,True,"ОАО ""Сады Придонья"", Россия",0.2л,,ст/б,Сок Золотая Русь яблоко 0.2л ст/б,"Напитки, соки|Соки, нектары, морсы",сок|сок + яблоко|сок + яблочный|яблоки|яблочно|яблочный
241998,крупа рис краснодарский,PROSTO,True,"ООО ""Компания ""Ангстрем Трейдинг""","8х62,5г",,,"Крупа Рис Краснодарский 8х62,5г PROSTO",Бакалея|Крупы|Рис,крупа|крупа + краснодарский|крупа + рис|крупа + рис + краснодарский|крупа + рисовая|рис|рисовая
109036,сметана,Снеда,True,"ООО ""Молочное дело - Ивня""",200г,10%,стакан,Сметана Снеда 10% 200г стакан,"Молочные продукты|Молочные продукты, сыры, яйцо|Сметана",сметана|сметанно
104866,приправа для шашлыка,Добрый гном,True,"ООО ""КАРЕ""",20г,,,Приправа Добрый гном для шашлыка 20г,"Растительные масла, соусы и приправы|Специи, приправы",приправа|приправа + для шашлыка|приправа + шашлыка
361600,напиток драйв ми энергетический б/а газ,Drive Me,False,"ООО ""ПепсиКо Холдингс""",0.5л,,ж/б,Напиток Драйв Ми энергетический б/а газ 0.5л ж/б,"Напитки, соки|Энергетические напитки",напитки|напиток|напиток + б а|напиток + б а + газ|напиток + б/а|напиток + б/а + газ|напиток + газ|напиток + газ + б а|напиток + газ + б/а|напиток + сл газ|напиток + сл/газ|напиток + энергетический|напиток + энергетический + б а|напиток + энергетический + б/а|напиток + энергетический + газ
90265,хлопья овсяные геркулес традиц,Русский продукт,True,"ОАО ""Русский продукт""",420г,,,Хлопья овсяные Геркулес традиц. 420г Русский продукт,Бакалея|Сухие завтраки,овес|овсяная|овсяные|овсяные + геркулес|овсяные + хлопья|овсяные + хлопья + геркулес|хлопья|хлопья + геркулес|хлопья + овсяные|хлопья + овсяные + геркулес
408880,приправа лимонная lemon fresh конц,Citrano,True,"ООО ""Олимпик Фудс""",100мл,,пл/б,Приправа лимонная Citrano Lemon Fresh конц. 100мл пл/б,"Растительные масла, соусы и приправы|Уксус",лимон|лимонная|лимоны|приправа|приправа + fresh|приправа + fresh + конц|приправа + lemon|приправа + lemon + fresh|приправа + lemon + конц|приправа + конц|приправа + лимонная|приправа + лимонная + fresh|приправа + лимонная + lemon|приправа + лимонная + конц|приправа + лимонный
162138,кофе растворимый колумбия меделин стекло,Jardin,True,"ООО ""НЕП"", Россия",95г,,,Кофе растворимый Жардин Колумбия Меделин 95г стекло,"Кофе|Чай, кофе, какао",Кофе|кофе|кофе + колумбия|кофе + растворимый|кофе + растворимый + колумбия|кофе + растворимый + стекло|кофе + стекло|кофейный
207740,конфитюр вишня низкокалорийный,Darbo,True,A. Darbo AG,220г,,,Конфитюр DARBO Вишня низкокалорийный 220г,Консервация|Фруктово-ягодная консервация,вишня|конфитюр|конфитюр + вишня|конфитюр + низкокалорийный
244437,мол сост прод каша рисовая абрикос,Сваля,True,"АО ""Пено Жвайгждес""",200г,6%,,Мол.сост.прод. Каша рисовая Сваля 6% 200г абрикос,"Десерты, каши молочные|Молочные продукты|Молочные продукты, сыры, яйцо",мол|мол + каша|мол + каша + рисовая|мол + прод|мол + прод + каша|мол + прод + рисовая|мол + рисовая|мол + сост|мол + сост + каша|мол + сост + прод|мол + сост + рисовая
320012,напиток биттер лемон сильногаз б/а,Schweppes,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",1.5л,,пэт,Напиток Швеппс Биттер Лемон сильногаз б/а 1.5л ПЭТ,"Лимонады, газированные напитки|Напитки, соки",напитки|напиток|напиток + б а|напиток + б а + сильногаз|напиток + б/а|напиток + б/а + сильногаз|напиток + биттер|напиток + биттер + б а|напиток + биттер + б/а|напиток + биттер + лемон|напиток + биттер + сильногаз|напиток + лемон|напиток + лемон + б а|напиток + лемон + б/а|напиток + лемон + сильногаз|напиток + сильногаз|напиток + сильногаз + б а|напиток + сильногаз + б/а
243440,кефир тп,Крепыш,True,"ООО ""Комбинат детского питания""",0.2кг,3.2%,,Кефир Крепыш 3.2% 0.2кг ТП,"Молочные продукты|Молочные продукты, сыры, яйцо|Продукты молочные для детей и кормящих мам",кефир|кефир + тп|кефирный
108925,мед натуральный таежный темн с кедр орешками,Кедровый Бор,True,"ООО ""ТАЙГА-ПРОДУКТ""",460г,,,Мед натуральный Кедровый Бор Таежный темн.с кедр.орешками 460г,Консервация|Мед,мед|мед + натуральный|мед + натуральный + таежный|мед + таежный|мед + таежный + темный|мед + темный
468056,вода мин негаз природ стол,Vittel,True,Nestle Waters Supply,1.5л,,пэт,Вода Vittel мин.негаз.природ.стол.1.5л ПЭТ,"Вода|Напитки, соки",вода|вода + мин|вода + мин + негаз|вода + мин + природ|вода + мин + стол|вода + негаз|вода + негаз + природ|вода + негаз + стол|вода + природ|вода + природ + стол|вода + стол
312977,сок яблоко,Rich,True,"ЗАО ""Мултон""",1л,,т/пак,Сок Rich яблоко 1л т/пак,"Напитки, соки|Соки, нектары, морсы",сок|сок + яблоко|сок + яблочный|яблоки|яблочно|яблочный
48643,сыр сливочный,Белебеевский МК,True,None,1кг,,,Сыр Сливочный  1кг Белебей,"Молочные продукты, сыры, яйцо|Сыры|Твердые сыры",сливки|сыр|сыр + сливочный|сырки|сырная|сырные|сырный|сырок
95576,форель филе-кусок подкопч,Русское море,True,"ЗАО ""Русское море""",300г,,в/у,Форель Русское море филе-кусок подкопч 300г в/у,"Рыба соленая и копченая|Рыба, морепродукты и икра|Рыбная гастрономия",кусочки|филе|форель|форель + кусок|форель + кусок + подкопч|форель + подкопч|форель + филе|форель + филе + кусок|форель + филе + кусок + подкопч|форель + филе + подкопч|форель + филе кусок|форель + филе кусок + подкопч|форель + филе-кусок|форель + филе-кусок + подкопч
603753,малина,Морозко Green,True,ООО Фзп,300г,,,Малина Морозко Green 300г,"Замороженные продукты|Овощи, ягоды, грибы замороженные",малина
205623,грибной суп с сухариками,Knorr,True,ООО «Юнилевер Русь»,15г,,,Чашка супа Knorr Грибной суп с сухариками 15г,Бакалея|Супы и блюда быстрого приготовления,грибное|грибной|грибочки|грибы|суп|суповой
186803,сухарики плюс 5 цельных злаков,Finn Crisp,True,"АО ""Ваасан""",190г,,,Сухарики Финн Крисп плюс 5 цельных злаков 190г,"Сухарики, баранки, сушки|Хлебобулочные изделия",сухари|сухарики
339759,вода мин негаз,Сенежская,True,"ООО ""ФКПЧФ Бобимэкс тм""",1.5л,,пэт,Вода Сенежская мин.негаз.1.5л ПЭТ,"Вода|Напитки, соки",вода|вода + мин|вода + мин + негаз|вода + негаз
243460,колбаса п/к краковская,ВЕЛКОМ,True,"ООО ""Мясокомбинат ""Павловская Слобода""",кг,,,Колбаса п/к Краковская ВЕЛКОМ. кг,Колбасы копченые|Мясная гастрономия,колбаса|колбаса + краковская|колбаса + п к|колбаса + п к + краковская|колбаса + п/к|колбаса + п/к + краковская|колбаска|колбаски|колбаски + п к|колбаски + п/к|колбасный|колбасу
118086,кефир,ПРОСТОКВАШИНО,True,"ОАО ""Компания ЮНИМИЛК""",930г,"3,2%",пэт,"Кефир Простоквашино 3,2% 930г ПЭТ","Кисломолочные продукты|Молочные продукты|Молочные продукты, сыры, яйцо",кефир|кефирный
117671,вода пит негаз,Фонте Аква Калинов Родник,True,"ООО ""Фонте Аква"" П013248",2л,,пэт,Вода Калинов Родник пит.негаз.2л ПЭТ,"Вода|Напитки, соки",вода|вода + негаз|вода + негаз + пит|вода + пит|вода + пит + негаз
103704,спред,Альпийская коровка,True,"ЗАО ""Озерецкий молочный комбинат""",180г,"82,5%",,"Спред Альпийская коровка 82,5% 180г","Масло сливочное и маргарин|Молочные продукты|Молочные продукты, сыры, яйцо",спред
95035,чай голден цейлон,Greenfield,True,"ООО ""НЕП"", Россия",,,25пак,Чай Greenfield Голден Цейлон 25пак,"Чай черный|Чай, кофе, какао",чай|чай + голден|чай + голден + цейлон|чай + цейлон|чай + цейлона
199934,быстросуп-пюре куриный с сухар,Gallina Blanca,True,"ЗАО ""Юроп Фудс ГБ""",17г,,,Быстросуп-пюре Gallina Blanca Куриный с сухар. 17г,Бакалея|Супы и блюда быстрого приготовления,быстросуп|быстросуп + пюре|быстросуп + пюре + с сухар|быстросуп + пюре + сухар|быстросуп + с сухар|быстросуп + сухар|быстросуп пюре|быстросуп пюре + с сухар|быстросуп пюре + сухар|быстросуп-пюре|быстросуп-пюре + с сухар|быстросуп-пюре + сухар|куриная|куриное|куриный|курица|пюре|пюре + курицей|пюре + с курицей|пюре + с сухар|пюре + сухар
83400,форель ломтики с/с,О'КЕЙ,True,"ЗАО ""ИТА Северная Компания""",300г,,,Форель ОКЕЙ ломтики с/с 300г,"Рыба соленая и копченая|Рыба, морепродукты и икра|Рыбная гастрономия",форель|форель + ломтики|форель + ломтики + с с|форель + ломтики + с/с|форель + с с|форель + с/с
168671,мол сост прод каша рисовая ваниль,Сваля,True,"АО ""Пено Жвайгждес""",200г,6%,,Мол.сост.прод. Каша рисовая Сваля 6% 200г ваниль,"Десерты, каши молочные|Молочные продукты|Молочные продукты, сыры, яйцо",мол|мол + каша|мол + каша + рисовая|мол + прод|мол + прод + каша|мол + прод + рисовая|мол + рисовая|мол + сост|мол + сост + каша|мол + сост + прод|мол + сост + рисовая
106643,кофе растворимый,Jacobs,True,"ООО ""Мон'дэлис Русь""",95г,,ст/б,Кофе растворимый Якобс Монарх 95г ст/б,"Кофе|Чай, кофе, какао",Кофе|кофе|кофе + растворимый|кофейный
113331,свекла маринованная,Валдайский погребок,True,"ЗАО ""Валдай""",500г,,,Свекла Валдайский Погребок маринованная 500г,Другие овощные консервы|Консервация|Овощные консервы,свекла|свекольный
113993,томатная паста,Green Ray,True,None,140 г,,,Томатная паста Грин Рэй 140 г,"Растительные масла, соусы и приправы|Соусы",паста|помидоры|помидоры + томаты|томат|томатная|томатная + паста|томатно|томатное|томатные|томатный|томаты
241572,конфеты ассорти,Merci,True,AUGUST STORCK KG,250г,,,Конфеты Мерси ассорти 250г,Кондитерские изделия|Конфеты,ассорти|конфета|конфеты|конфеты + ассорти
243723,чай с мелиссой в конв,О'КЕЙ,True,"ООО ""Мал Ком""",25х2г,,пак.,Чай ОКЕЙ с мелиссой 25х2г пак. в конв.,"Чай зеленый|Чай, кофе, какао",чай|чай + в конв|чай + конв|чай + мелисса
46705,колбаса вареная два девяносто,Царицыно,True,"ОАО ""Фирменный Торговый Дом Царицыно""",кг,,,Колбаса вареная Два Девяносто Царицыно. кг,Колбасы вареные|Мясная гастрономия,колбаса|колбаса + вареная|колбаска|колбаски|колбаски + вареные|колбасный|колбасу
181552,сосиски на натуральных сливках,ДЫМОВ,True,"ООО""Дымовское колбасное производство""",550г,,,Сосиски На натуральных сливках ДЫМОВ 550г,"Мясная гастрономия|Сосиски, сардельки, колбаски",сосиска|сосиски|сосиски + сливочные
178970,котлеты картофельные,ПРОДУКТЫ ОТ ИЛЬИНОЙ,True,None,300г,,,Котлеты картофельные 300г От Ильиной,"Замороженные продукты|Котлеты, нагетсы, галеты|Полуфабрикаты замороженные",картофель|картофельные|картофельный|котлета|котлеты|котлеты + картофельные
244418,креветки королевские очищенные с хвостиком в рассоле,VICI,True,"ООО ""Вичюнай-Русь""",400г,,пл/б,Креветки VICI королевские очищенные с хвостиком в рассоле 400г пл/б,"Пресервы|Рыба, морепродукты и икра|Рыбная гастрономия",креветка|креветки|креветки + в рассоле|креветки + королевские|креветки + королевские + очищенные|креветки + очищенные|креветки + рассоле
140190,батончик мюсли яблоко,Nature Valley,True,General Mills,42г,,,Батончик мюсли Nature Valley Яблоко 42г,Бакалея|Сухие завтраки,батон|батончик|батончик + мюсли|батончик + мюсли + яблоко|батончик + яблоко|батончик мюсли|батончик-мюсли|батончики|батончики + мюсли|булка|булки|булочка|булочки|мюсли
245203,пастила с кусочками мармелада,Alela,True,"ООО ""Кондитерская фабрика ""Алела""",185г,,,Пастила Алела с кусочками мармелада 185г,"Кондитерские изделия|Мармелад, суфле, зефир, пастила",пастила|пастила + кусочками|пастила + кусочками + мармелада|пастила + кусочками + с мармелада|пастила + мармелада|пастила + с кусочками|пастила + с кусочками + мармелада|пастила + с мармелада
242265,горбуша ломтики с/с,Асто,True,"ООО ""АСТО""",150г,,в/у,Горбуша Асто ломтики с/с 150г в/у,"Рыба соленая и копченая|Рыба, морепродукты и икра|Рыбная гастрономия",горбуша|горбуша + ломтики|горбуша + с с|горбуша + с/с
245471,кофе растворимый карт нуар,Carte Noire,False,"ООО ""Мон'дэлис Русь""",150г,,пакет,Кофе растворимый Карт Нуар 150г пакет,"Кофе|Чай, кофе, какао",Кофе|кофе|кофе + карт|кофе + карт + нуар|кофе + нуар|кофе + растворимый|кофе + растворимый + карт|кофе + растворимый + нуар|кофейный
242074,крабовое мясо снежный краб охл,Меридиан,True,"ООО""Меридиан""",200г,,,Крабовое мясо Меридиан снежный краб охл 200г,"Крабовое мясо и палочки|Рыба, морепродукты и икра|Рыбная гастрономия",говядина|говядина + охл|краб|краб + мясо|крабовое|крабовое + мясо|крабовое + мясо + охл|крабовое + охл|крабовые|крабовые + охл|крабовые + охлажденные|крабовые + снежный|крабовые + снежный + охл|крабовый|крабы|мясной|мясной + говяжий|мясо
173876,сахар-рафинад,Чайкофский,True,"ООО ""Русагро-сахар""",500г,,,Сахар-рафинад Чайкофский 500г,Бакалея|Сахар,рафинад|сахар|сахар + рафинад|сахар рафинад|сахар-рафинад|сахарная|сахарный
178964,котлеты капустные,ПРОДУКТЫ ОТ ИЛЬИНОЙ,True,"ООО ""Айс-Продукт""",300г,,,Котлеты капустные 300г От Ильиной,"Замороженные продукты|Котлеты, нагетсы, галеты|Полуфабрикаты замороженные",капуста|котлета|котлеты|котлеты + капустные
206696,какао напиток растворимый,MacChoco,True,"ООО ""ФЕС ПРОДУКТ""",235г,,,Какао напиток растворимый MacChoco 235г,"Какао, цикорий|Чай, кофе, какао",какао|какао + напиток|какао + напиток + растворимый|какао + растворимый|какао напиток|какао-напиток|напитки|напиток|напиток + какао|напиток + растворимый|напиток + с какао
114507,филе треск с/м в панировке bondelamar,Не Бренд,False,None,600г,,,"Филе треск. с/м в панировке, 600г  BonDeLaMar","Рыба охлажденная и замороженная|Рыба, морепродукты и икра",филе
149905,свинина лопатка домашняя в маринаде,Не Бренд,True,None,кг,,,Свинина лопатка Домашняя в маринаде Мираторг. кг,Мясо и птица|Мясо охлажденное,свинина|свинина + лопатка|свинина + лопаточная
